episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
291,-756.031357,29,0,0,0,0,0,0,0,30840
292,-753.552902,33,0,0,0,0,0,0,0,30968
293,-767.014755,40,0,0,0,0,0,0,0,31008
294,-608.657516,37,0,0,0,0,0,0,0,31080
295,-795.356339,56,0,0,0,0,0,0,0,31288
296,-2670.00827,525,0,0,0,0,0,0,0,31352
297,-933.601105,46,0,0,0,0,0,0,0,31448
298,-731.928055,74,0,0,0,0,0,0,0,31560
299,-769.832184,37,0,0,0,0,0,0,0,31744
300,-674.637863,59,0,0,0,0,0,0,0,31824
301,-1290.179153,104,0,0,0,0,0,0,0,31840
302,-942.720444,52,0,0,0,0,0,0,0,31976
303,-830.081207,37,0,0,0,0,0,0,0,32040
304,-954.867813,50,0,0,0,0,0,0,0,32240
305,-900.542297,37,0,0,0,0,0,0,0,32272
306,-996.101395,75,0,0,0,0,0,0,0,32424
307,-1233.237183,66,0,0,0,0,0,0,0,32568
308,-515.230637,55,0,0,0,0,0,0,0,32680
309,-1076.904022,81,0,0,0,0,0,0,0,32920
310,-589.823288,46,0,0,0,0,0,0,0,32936
311,-373.25737,35,0,0,0,0,0,0,0,32960
312,-742.206589,18,0,0,0,0,0,0,0,33064
313,-1115.657715,81,0,0,0,0,0,0,0,33072
314,-993.292877,22,0,0,0,0,0,0,0,33112
315,-2680.71225,462,0,0,0,0,0,0,0,33128
316,-819.722733,40,0,0,0,0,0,0,0,33280
317,-1209.620911,46,0,0,0,0,0,0,0,33432
318,-696.494919,40,0,0,0,0,0,0,0,33448
319,-596.641403,37,0,0,0,0,0,0,0,33576
320,-1096.50882,82,0,0,0,0,0,0,0,33768
321,-2108.722107,525,0,0,0,0,0,0,0,33872
322,-1148.971008,54,0,0,0,0,0,0,0,33880
323,-616.601837,40,0,0,0,0,0,0,0,33896
324,-2392.08551,525,0,0,0,0,0,0,0,34000
325,-890.277969,80,0,0,0,0,0,0,0,34072
326,-891.679214,40,0,0,0,0,0,0,0,34088
327,-811.433624,40,0,0,0,0,0,0,0,34192
328,-605.864258,43,0,0,0,0,0,0,0,34224
329,-1405.858505,151,0,0,0,0,0,0,0,34280
330,-806.643295,37,0,0,0,0,0,0,0,34368
331,-805.296692,49,0,0,0,0,0,0,0,34392
332,-392.183304,27,0,0,0,0,0,0,0,34440
333,-782.337128,50,0,0,0,0,0,0,0,34488
334,-1253.472565,98,0,0,0,0,0,0,0,34680
335,-1099.393753,38,0,0,0,0,0,0,0,34696
336,-921.518723,56,0,0,0,0,0,0,0,34728
337,-940.830582,39,0,0,0,0,0,0,0,34800
338,-952.829056,25,0,0,0,0,0,0,0,34880
339,-1180.312195,97,0,0,0,0,0,0,0,34968
340,-1077.46579,81,0,0,0,0,0,0,0,35016
341,-950.46698,29,0,0,0,0,0,0,0,35032
342,-747.464935,42,0,0,0,0,0,0,0,35032
343,-879.569382,76,0,0,0,0,0,0,0,35048
344,-642.579773,44,0,0,0,0,0,0,0,35080
345,-782.806732,22,0,0,0,0,0,0,0,35208
346,-952.242615,42,0,0,0,0,0,0,0,35304
347,-786.38829,40,0,0,0,0,0,0,0,35336
348,-756.834198,59,0,0,0,0,0,0,0,35352
349,-2998.859055,525,0,0,0,0,0,0,0,35488
350,-816.948883,37,0,0,0,0,0,0,0,35632
351,-772.849884,42,0,0,0,0,0,0,0,35640
352,-1234.569534,47,0,0,0,0,0,0,0,35728
353,-757.483017,40,0,0,0,0,0,0,0,35808
354,-554.33812,40,0,0,0,0,0,0,0,35952
355,-650.185196,40,0,0,0,0,0,0,0,35960
356,-1195.406067,119,0,0,0,0,0,0,0,36032
357,-1171.167389,126,0,0,0,0,0,0,0,36040
358,-1094.610733,46,0,0,0,0,0,0,0,36328
359,-706.493591,40,0,0,0,0,0,0,0,36352
360,-1103.43161,169,0,0,0,0,0,0,0,36560
361,-1109.3685,96,0,0,0,0,0,0,0,36576
362,-741.557358,37,0,0,0,0,0,0,0,36624
363,-1099.691818,90,0,0,0,0,0,0,0,36672
364,-961.501602,52,0,0,0,0,0,0,0,36768
365,-774.02919,99,0,0,0,0,0,0,0,36832
366,-785.911484,43,0,0,0,0,0,0,0,36920
367,-626.184708,43,0,0,0,0,0,0,0,36968
368,-1124.657242,38,0,0,0,0,0,0,0,36976
369,-643.827606,42,0,0,0,0,0,0,0,37104
370,-944.872513,81,0,0,0,0,0,0,0,37208
371,-1024.817642,32,0,0,0,0,0,0,0,37224
372,-661.00293,80,0,0,0,0,0,0,0,37472
373,-748.343338,31,0,0,0,0,0,0,0,37472
374,-905.555527,70,0,0,0,0,0,0,0,37480
