episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
323,2135.6,2955,3064,18,-1,370,0,6957440
324,5022.4,2103,741,22,-1,1930,312,6959960
325,4649.0,1583,541,21,-1,2075,344,6960768
326,2497.4,3099,2352,19,-1,440,373,6970480
327,3089.0,7612,3075,19,-1,490,0,6983264
328,2445.0,5212,3057,19,-1,430,0,6990592
329,5846.8,4061,372,18,-1,1910,351,6992448
330,4849.8,4408,380,5,-1,1635,339,6992704
331,5202.4,2883,66,20,-1,1675,395,6993544
332,5680.6,4289,748,19,-1,2360,339,6995080
333,6560.0,6430,533,20,-1,1995,354,6996632
334,6456.6,6428,62,21,-1,1775,395,6997232
335,4962.2,1764,797,19,-1,2305,318,7010744
336,2249.0,2994,1429,19,-1,430,395,7016656
337,2202.0,2978,1310,18,-1,400,397,7018904
338,2929.2,5238,1407,18,-1,420,396,7025168
339,2271.6,892,2594,18,-1,420,366,7032304
340,5800.8,4426,734,20,-1,2205,330,7032640
341,3317.2,5333,3075,18,-1,430,0,7033256
342,3407.6,5387,2646,18,-1,440,371,7035544
343,4815.0,3476,735,19,-1,955,289,7038552
344,1033.2,2781,2360,6,-1,190,361,7038904
345,3069.0,7622,3074,17,-1,420,0,7054520
346,4765.2,2579,73,18,-1,1270,395,7056176
347,2756.6,2994,1429,19,-1,430,395,7057208
348,5306.6,2748,749,17,-1,1965,354,7060536
349,5248.2,3559,64,19,-1,2185,395,7060776
350,5782.6,5455,1058,19,-1,1450,332,7062544
351,5168.4,1633,373,6,-1,1815,368,7067584
352,5157.4,1983,545,17,-1,2085,375,7072040
353,3554.4,5234,3066,20,-1,470,0,7074512
354,5458.2,4744,354,17,-1,1560,356,7076856
355,2267.4,3062,1817,15,-1,390,382,7085272
356,4787.0,1680,26,19,-1,1850,389,7087952
357,3259.8,3008,2611,19,-1,420,365,7091648
358,2110.6,869,1538,19,-1,450,388,7092224
359,6503.2,4031,76,24,-1,1850,394,7092784
360,1567.0,587,1318,19,-1,390,397,7096344
361,5209.0,2646,509,19,-1,2325,370,7098024
362,5345.8,5275,521,19,-1,1170,366,7099408
363,2066.8,622,1413,16,-1,330,393,7101320
364,5282.0,4028,720,22,-1,1930,346,7104264
