episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
330,302.2,882,1011,2,0,70,363,584560
331,746.6,3225,733,12,0,290,340,584776
332,265.0,709,1325,0,0,10,396,585232
333,189.2,681,696,1,0,40,366,587872
334,39.6,367,198,0,0,0,394,588168
335,295.8,982,729,3,0,90,365,589240
336,173.2,573,616,1,0,20,363,589360
337,414.0,942,1320,3,0,100,312,592096
338,208.4,1164,792,1,0,70,344,593648
339,358.0,812,790,4,0,100,368,594664
340,122.6,1010,613,0,0,60,366,595952
341,518.0,857,1840,3,0,80,323,596216
342,412.8,941,1314,3,0,130,396,596768
343,266.2,578,581,3,0,70,381,598272
344,521.6,808,2358,1,0,80,359,598560
345,219.4,436,597,2,0,50,382,600256
346,313.0,766,1315,1,0,70,397,600792
347,84.4,602,172,1,0,30,392,601032
348,750.0,3046,0,15,0,350,0,601856
349,312.0,617,1310,1,0,50,397,605192
350,222.6,1178,613,2,0,90,371,605376
351,161.4,585,557,1,0,40,376,605472
352,208.4,696,792,1,0,50,356,606600
353,900.0,3299,0,18,0,430,0,606696
354,313.0,1115,1315,1,0,50,397,607480
355,252.2,871,1011,1,0,80,359,608824
356,352.2,702,1011,3,0,120,359,611088
357,87.6,554,188,1,0,40,393,611128
358,507.8,891,1789,3,0,160,372,612320
359,312.8,662,1314,1,0,50,397,612776
360,239.0,889,695,2,0,80,345,613712
361,172.4,634,612,1,0,20,364,616200
362,256.8,835,784,2,0,90,360,617768
363,208.8,768,794,1,0,30,369,618464
364,947.8,1889,739,16,0,2025,363,620488
365,415.8,1058,1829,1,0,100,335,621240
366,134.8,587,174,2,0,60,391,622464
367,164.8,469,574,1,0,20,379,626344
368,160.2,552,551,1,0,30,375,627008
369,162.4,741,562,1,0,40,389,628520
370,413.0,756,1315,3,0,90,354,628640
371,413.8,780,1319,3,0,100,394,628832
372,191.4,854,707,1,0,50,355,629424
373,621.2,928,2356,3,0,120,361,630016
374,402.6,938,1013,4,0,150,339,630096
375,187.8,511,189,3,0,60,393,634104
376,255.4,713,1027,1,0,40,344,634536
377,151.0,953,755,0,0,30,362,634632
378,115.2,695,576,0,0,30,386,634984
379,363.0,718,1315,2,0,60,396,635840
380,304.6,1261,1023,2,0,70,260,638728
381,124.0,578,620,0,0,10,369,639160
382,314.2,717,1321,1,0,50,397,640720
383,318.0,915,590,4,0,100,368,641952
384,264.2,544,1321,0,0,20,395,643080
385,309.8,1149,1299,1,0,100,342,645032
386,363.2,910,1316,2,0,60,344,648000
387,115.2,759,576,0,0,20,378,648024
388,217.2,659,586,2,0,50,372,648352
389,1060.0,3073,1550,15,0,350,347,650928
390,111.8,595,559,0,0,10,378,652760
391,550.0,3042,0,11,0,290,0,652856
392,163.0,797,565,1,0,60,381,654400
393,314.8,687,1324,1,0,80,396,656424
394,282.4,1511,1412,0,0,70,322,657120
395,313.2,1128,1316,1,0,80,394,657376
396,779.6,3021,148,15,0,340,389,658272
397,258.4,600,1042,1,0,30,358,659200
398,139.0,563,195,2,0,50,394,660928
399,636.8,2937,184,12,0,300,392,662656
400,200.8,542,754,1,0,20,366,663536
401,257.6,801,788,2,0,80,368,663784
402,763.4,1608,67,15,0,1935,395,665720
403,136.6,546,183,2,0,50,392,667024
404,168.0,1145,590,1,0,70,380,667432
405,88.4,470,192,1,0,30,393,671192
406,222.2,707,611,2,0,40,367,671376
407,859.4,1823,547,15,0,1980,372,671704
408,315.2,713,1326,1,0,60,396,672728
409,310.4,1176,802,3,0,90,291,672944
410,265.6,599,1328,0,0,10,395,675984
411,263.0,778,1315,0,0,20,397,677600
412,500.2,3119,501,8,0,1470,288,677712
413,139.8,695,699,0,0,30,365,678288
414,312.6,654,1313,1,0,70,396,681216
415,363.4,1042,1317,2,0,200,395,681280
416,160.2,670,551,1,0,40,377,683072
417,700.0,2868,0,14,0,300,0,683872
418,187.4,824,687,1,0,40,377,684192
419,168.0,999,590,1,0,30,379,686280
420,241.4,665,707,2,0,60,372,686600
421,190.2,434,201,3,0,60,394,687344
422,813.8,2951,569,14,0,320,386,687392
423,313.0,795,1315,1,0,50,397,687576
424,168.2,597,591,1,0,30,381,687848
425,311.8,683,1309,1,0,50,397,689656
426,363.8,808,1319,2,0,90,358,693064
427,301.2,722,756,3,0,90,370,693120
428,813.6,748,1318,11,0,230,397,693376
429,163.4,542,567,1,0,20,380,693992
430,305.2,908,1026,2,0,100,339,694840
431,302.0,915,1010,2,0,70,356,695168
432,600.0,3261,0,12,0,330,0,697792
433,251.6,661,1008,1,0,40,355,698352
434,298.6,736,743,3,0,80,367,699008
435,251.4,954,1007,1,0,80,363,701008
436,264.4,772,1322,0,0,10,396,701344
437,362.4,1174,1312,2,0,90,396,704232
438,254.0,817,1020,1,0,50,352,704328
439,204.8,715,1024,0,0,10,358,704728
440,313.0,1061,1315,1,0,100,346,706840
441,252.6,754,1013,1,0,70,364,707040
442,174.8,725,624,1,0,50,369,707144
443,211.8,705,559,2,0,60,376,709872
444,913.2,2994,1316,13,0,320,396,710232
445,209.6,497,548,2,0,50,375,711120
446,37.6,865,188,0,0,70,393,711248
447,263.0,738,1315,0,0,30,397,712744
448,332.0,1080,1410,1,0,50,341,713368
449,263.2,814,1316,0,0,50,345,713552
450,315.2,605,1326,1,0,20,396,714712
451,253.8,630,1019,1,0,50,364,715272
452,83.8,613,169,1,0,30,391,716024
453,27.8,511,139,0,0,0,388,716832
454,812.4,2988,562,14,0,330,384,717896
455,169.2,452,596,1,0,20,381,718328
456,113.2,687,566,0,0,20,381,719048
457,89.2,478,196,1,0,20,394,719848
458,110.2,572,551,0,0,10,377,719848
459,310.0,1110,1300,1,0,40,357,720128
460,40.2,498,201,0,0,20,394,720816
461,134.4,482,172,2,0,40,392,722184
462,166.0,562,580,1,0,30,386,724344
463,251.8,618,1009,1,0,60,356,724792
464,264.8,905,1324,0,0,90,396,725136
465,168.2,676,591,1,0,40,382,725536
466,314.6,639,1323,1,0,60,396,725928
467,949.6,1756,748,16,0,2380,322,727416
468,428.4,827,1892,1,0,140,373,728800
469,961.0,1401,55,19,0,2010,393,730256
470,40.0,576,200,0,0,10,394,730536
471,264.6,855,1323,0,0,20,396,731976
472,292.8,1032,714,3,0,90,371,732600
473,521.4,970,2357,1,0,80,344,733296
474,198.8,1159,744,1,0,70,362,734064
475,204.8,854,774,1,0,50,360,735632
476,263.0,739,565,3,0,110,375,736448
477,363.0,1162,1315,2,0,230,396,736712
478,262.0,629,1310,0,0,10,396,737008
479,248.0,1005,740,2,0,70,366,738296
480,462.4,786,1812,2,0,90,372,738888
481,364.0,769,1320,2,0,120,397,739448
482,193.0,692,715,1,0,40,369,739600
483,475.0,689,1875,2,0,100,383,741144
484,313.0,762,1315,1,0,50,397,743104
485,83.0,580,165,1,0,20,391,744088
486,412.8,676,1314,3,0,100,396,744296
487,173.2,1017,616,1,0,40,372,744848
488,488.2,887,1691,3,0,90,329,745392
489,144.8,789,724,0,0,40,364,745912
490,137.0,666,185,2,0,40,392,746472
491,312.2,708,1311,1,0,30,396,748768
492,222.4,834,612,2,0,50,385,753144
493,307.6,1178,1288,1,0,100,322,754816
494,313.2,1127,1316,1,0,80,396,754928
495,252.0,1185,1010,1,0,90,352,758248
496,159.4,471,547,1,0,20,378,758584
497,205.4,688,1027,0,0,30,358,758648
498,837.6,2996,688,14,0,320,368,760416
499,363.2,695,1316,2,0,130,397,760488
500,218.0,553,590,2,0,60,376,763008
501,313.0,665,1315,1,0,60,397,763568
502,315.0,606,1325,1,0,40,396,765264
503,87.4,871,187,1,0,90,391,765616
504,303.4,729,1017,2,0,60,358,766320
505,263.6,590,1318,0,0,20,395,767728
506,303.6,577,1018,2,0,50,360,768184
507,700.0,2987,0,14,0,310,0,768192
508,768.0,3000,590,13,0,300,382,768848
509,750.0,3102,0,15,0,350,0,768904
510,239.8,611,699,2,0,50,367,770152
511,261.8,469,559,3,0,60,376,772656
512,113.6,799,568,0,0,40,378,772712
513,183.2,580,166,3,0,70,391,774792
514,185.6,397,178,3,0,60,392,775832
515,312.8,919,1314,1,0,70,358,776200
516,263.0,651,1315,0,0,30,396,780000
517,313.8,825,1319,1,0,60,397,782432
518,147.2,1956,486,1,0,1795,365,783832
519,311.8,662,1309,1,0,60,397,785296
520,261.8,662,1309,0,0,40,397,789128
521,362.6,849,1313,2,0,100,397,789224
522,807.0,2955,785,13,0,280,365,791368
523,354.2,789,1021,3,0,100,370,791608
524,362.8,665,1564,1,0,60,391,794448
525,264.4,709,1322,0,0,50,395,794896
526,163.4,530,567,1,0,20,382,795848
527,800.2,3035,751,13,0,280,370,796992
528,1007.4,3621,787,17,0,2670,0,797160
529,182.4,741,162,3,0,110,390,797296
530,1067.4,2878,1087,17,0,2535,110,799224
531,264.6,566,1323,0,0,10,396,799424
532,412.0,801,1560,2,0,90,392,800856
533,160.2,594,551,1,0,30,379,801912
534,187.8,763,189,3,0,90,393,803096
535,310.0,823,1300,1,0,60,365,803880
536,185.2,1089,676,1,0,50,360,804560
537,241.2,739,706,2,0,80,364,805136
538,360.0,814,1300,2,0,50,336,805936
539,278.2,570,1391,0,0,20,394,806472
540,1554.8,5389,1024,27,0,650,365,808728
541,165.0,707,575,1,0,40,380,808752
542,216.2,686,581,2,0,70,380,810048
543,273.0,782,615,3,0,70,368,810136
544,136.4,595,182,2,0,40,393,811232
545,263.2,669,1316,0,0,30,397,814104
546,87.0,689,185,1,0,70,392,814240
547,362.8,740,1314,2,0,100,397,815968
548,199.6,750,748,1,0,40,374,816136
549,261.8,610,1309,0,0,30,397,818984
550,262.6,669,1313,0,0,20,397,819592
551,406.0,1058,1530,2,0,130,339,819696
552,205.4,1802,527,2,0,1515,366,820352
553,161.8,757,559,1,0,30,378,822192
554,217.4,497,587,2,0,50,380,823568
555,313.6,620,1318,1,0,60,397,823944
556,911.0,2949,555,16,0,320,375,824448
557,136.4,608,182,2,0,40,392,824560
558,255.2,822,1026,1,0,60,364,826928
559,410.4,642,1552,2,0,80,392,827328
560,218.0,545,590,2,0,50,380,828920
561,863.8,3041,1319,12,0,270,354,829464
562,211.2,826,556,2,0,80,380,830552
563,172.4,604,612,1,0,40,370,832160
564,115.6,685,578,0,0,20,384,832408
565,579.2,1133,1896,4,0,190,330,832632
566,110.8,729,554,0,0,10,377,834752
567,263.2,680,1316,0,0,10,397,834904
568,363.2,664,1316,2,0,50,397,837720
569,307.4,866,1287,1,0,60,356,839560
570,213.6,634,568,2,0,60,384,839976
571,351.8,890,1009,3,0,100,361,841872
572,86.8,615,184,1,0,30,392,842640
573,312.6,595,1313,1,0,40,397,844320
574,37.4,631,187,0,0,20,393,846920
575,905.2,3080,1026,14,0,320,359,849088
576,189.6,918,698,1,0,30,368,849984
577,433.8,841,1419,3,0,80,355,851048
578,286.8,788,684,3,0,90,372,853224
579,750.0,2933,0,15,0,320,0,854016
580,261.6,730,1308,0,0,50,397,854928
581,313.0,695,1315,1,0,40,397,855544
582,951.8,3019,1009,15,0,320,357,856312
583,110.0,693,550,0,0,20,377,858768
584,314.4,982,1322,1,0,90,397,858904
585,1533.6,5442,1418,25,0,580,355,859504
586,263.8,612,1319,0,0,30,397,860440
587,477.6,657,1638,3,0,80,346,861568
588,264.2,593,1321,0,0,10,396,863648
589,253.0,1161,1015,1,0,90,338,864216
590,686.2,3211,681,11,0,270,369,865664
591,212.8,580,564,2,0,60,388,868288
