episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
311,-587.989566,40,0,0,0,0,0,0,0,31992
312,-519.190894,44,0,0,0,0,0,0,0,32032
313,-756.964804,24,0,0,0,0,0,0,0,32224
314,-1175.625241,57,0,0,0,0,0,0,0,32448
315,-897.213614,79,0,0,0,0,0,0,0,32456
316,-1819.145746,368,0,0,0,0,0,0,0,32608
317,-960.327426,75,0,0,0,0,0,0,0,32824
318,-866.563406,49,0,0,0,0,0,0,0,32848
319,-1096.717877,52,0,0,0,0,0,0,0,32864
320,-493.562671,40,0,0,0,0,0,0,0,32928
321,-1022.274997,25,0,0,0,0,0,0,0,33048
322,-730.951358,40,0,0,0,0,0,0,0,33144
323,-1146.591315,264,0,0,0,0,0,0,0,33144
324,-678.338635,37,0,0,0,0,0,0,0,33160
325,-2136.101868,525,0,0,0,0,0,0,0,33200
326,-764.840125,29,0,0,0,0,0,0,0,33280
327,-761.483191,34,0,0,0,0,0,0,0,33416
328,-698.598538,37,0,0,0,0,0,0,0,33456
329,-609.748932,41,0,0,0,0,0,0,0,33472
330,-490.413385,48,0,0,0,0,0,0,0,33584
331,-888.189197,30,0,0,0,0,0,0,0,33712
332,-938.265759,42,0,0,0,0,0,0,0,33792
333,-661.513657,31,0,0,0,0,0,0,0,33832
334,-390.018329,250,0,0,0,0,0,0,0,33872
335,-1390.192966,370,0,0,0,0,0,0,0,33960
336,-27.387473,109,0,0,0,0,0,0,0,34152
337,-557.384415,46,0,0,0,0,0,0,0,34160
338,-977.912057,33,0,0,0,0,0,0,0,34224
339,-698.97327,110,0,0,0,0,0,0,0,34296
340,106.636432,182,0,0,0,0,0,0,0,34384
341,-538.532565,40,0,0,0,0,0,0,0,34472
342,-553.700494,78,0,0,0,0,0,0,0,34496
343,-697.028073,52,0,0,0,0,0,0,0,34712
344,-129.295709,133,0,0,0,0,0,0,0,34776
345,-695.300113,40,0,0,0,0,0,0,0,34792
346,-605.751901,73,0,0,0,0,0,0,0,34808
347,-426.409409,131,0,0,0,0,0,0,0,34880
348,-108.55304,91,0,0,0,0,0,0,0,34888
349,-907.02106,30,0,0,0,0,0,0,0,35016
350,-663.758505,29,0,0,0,0,0,0,0,35024
351,-457.884235,40,0,0,0,0,0,0,0,35032
352,-770.95256,26,0,0,0,0,0,0,0,35096
353,-601.707196,37,0,0,0,0,0,0,0,35104
354,-561.864294,84,0,0,0,0,0,0,0,35168
355,-575.371991,22,0,0,0,0,0,0,0,35192
356,-616.14527,49,0,0,0,0,0,0,0,35272
357,95.913705,114,0,0,0,0,0,0,0,35296
358,-747.043256,37,0,0,0,0,0,0,0,35320
359,-442.601437,37,0,0,0,0,0,0,0,35400
360,-542.357407,31,0,0,0,0,0,0,0,35416
361,-694.284998,43,0,0,0,0,0,0,0,35440
362,-731.659976,25,0,0,0,0,0,0,0,35472
363,-834.744284,39,0,0,0,0,0,0,0,35504
364,-772.898483,21,0,0,0,0,0,0,0,35584
365,-672.486993,43,0,0,0,0,0,0,0,35640
366,-859.647559,39,0,0,0,0,0,0,0,35712
367,-710.534656,40,0,0,0,0,0,0,0,35760
368,-806.654501,34,0,0,0,0,0,0,0,35776
369,-770.977191,100,0,0,0,0,0,0,0,35832
370,-493.120773,46,0,0,0,0,0,0,0,35840
371,-376.435254,37,0,0,0,0,0,0,0,35880
372,-697.9315,37,0,0,0,0,0,0,0,35936
373,-691.49425,40,0,0,0,0,0,0,0,36080
374,-386.768723,31,0,0,0,0,0,0,0,36088
375,-459.980396,40,0,0,0,0,0,0,0,36096
376,-533.400815,57,0,0,0,0,0,0,0,36168
377,-710.144238,37,0,0,0,0,0,0,0,36176
378,-835.640268,43,0,0,0,0,0,0,0,36176
379,-484.876886,108,0,0,0,0,0,0,0,36184
380,-719.378757,20,0,0,0,0,0,0,0,36256
381,-760.215298,37,0,0,0,0,0,0,0,36384
382,-466.023721,28,0,0,0,0,0,0,0,36408
383,-485.685873,44,0,0,0,0,0,0,0,36528
384,-829.987054,43,0,0,0,0,0,0,0,36600
385,-991.385306,39,0,0,0,0,0,0,0,36696
386,-30.789584,95,0,0,0,0,0,0,0,36840
387,-255.229416,121,0,0,0,0,0,0,0,36904
388,-412.973062,43,0,0,0,0,0,0,0,37040
389,-907.235999,29,0,0,0,0,0,0,0,37072
390,-105.138696,128,0,0,0,0,0,0,0,37200
391,-835.892432,44,0,0,0,0,0,0,0,37256
392,-794.264386,32,0,0,0,0,0,0,0,37296
393,-795.305655,34,0,0,0,0,0,0,0,37344
394,-188.533478,106,0,0,0,0,0,0,0,37448
395,-694.108133,28,0,0,0,0,0,0,0,37480
396,-167.344727,141,0,0,0,0,0,0,0,37536
397,-736.534558,47,0,0,0,0,0,0,0,37576
398,-614.896628,24,0,0,0,0,0,0,0,37672
399,-463.462335,28,0,0,0,0,0,0,0,37800
400,-976.701276,57,0,0,0,0,0,0,0,37800
401,-688.347015,41,0,0,0,0,0,0,0,37864
402,-560.432111,77,0,0,0,0,0,0,0,37912
403,-655.292508,177,0,0,0,0,0,0,0,37944
404,-914.448749,30,0,0,0,0,0,0,0,38040
405,-48.61228,79,0,0,0,0,0,0,0,38080
406,-349.60816,39,0,0,0,0,0,0,0,38112
